StationTime,Attractiveness,Closeness Centrality,Degree Centerality,Betweenness Centrality
12636,27.69149969,231.8059373,3,300
12637,27.75660646,230.9573108,4,393
12638,22.09686462,230.7857799,4,393
12639,18.73716827,231.3154191,3,277
12641,18.72971772,231.5817434,2,184
12642,23.41218275,231.1348603,3,236
12643,22.21989507,231.6629949,2,176
12644,22.21989507,232.3822209,2,176
12648,79.08132312,227.075296,4,414
12651,47.51071242,229.1667691,3,275
12652,29.71688511,229.5519613,2,182
12653,26.86235693,230.0620399,2,182
12654,17.14995114,230.7286029,3,275
12655,11.23237818,231.4613709,2,182
12656,11.23237818,231.8480677,2,182
12657,20.40670446,232.719264,2,182
12658,23.30305283,233.6461327,2,182
12659,19.71331102,234.6106177,3,234
12660,21.00035711,235.5751028,2,172
12662,42.01322743,239.6075833,8,708
12663,35.64411415,240.2350252,8,708
12665,16.99999088,241.2792571,5,774
12666,20.27186578,241.0836517,5,774
12668,2.01290013,281.5920248,2,596
